tablescraper-selected-row,title-cell__ZGos,title-cell__ZGos href,tablescraper-selected-row 2,label
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset,41.6%,Medium
369,Plus One Linked List,https://leetcode.com/problems/plus-one-linked-list,61.0%,Medium
370,Range Addition,https://leetcode.com/problems/range-addition,71.2%,Medium
373,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,38.3%,Medium
374,Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower,52.0%,Easy
375,Guess Number Higher or Lower II,https://leetcode.com/problems/guess-number-higher-or-lower-ii,47.0%,Medium
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv,52.2%,Medium
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,61.8%,Medium
379,Design Phone Directory,https://leetcode.com/problems/design-phone-directory,51.2%,Medium
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,52.8%,Medium
381,Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,35.5%,Hard
382,Linked List Random Node,https://leetcode.com/problems/linked-list-random-node,62.8%,Medium
383,Ransom Note,https://leetcode.com/problems/ransom-note,58.4%,Easy
384,Shuffle an Array,https://leetcode.com/problems/shuffle-an-array,57.9%,Medium
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string,59.7%,Easy
388,Longest Absolute File Path,https://leetcode.com/problems/longest-absolute-file-path,46.7%,Medium
389,Find the Difference,https://leetcode.com/problems/find-the-difference,59.8%,Easy
391,Perfect Rectangle,https://leetcode.com/problems/perfect-rectangle,32.9%,Hard
392,Is Subsequence,https://leetcode.com/problems/is-subsequence,47.4%,Easy
393,UTF-8 Validation,https://leetcode.com/problems/utf-8-validation,45.1%,Medium
394,Decode String,https://leetcode.com/problems/decode-string,58.0%,Medium
395,Longest Substring with At Least K Repeating Characters,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,44.7%,Medium
397,Integer Replacement,https://leetcode.com/problems/integer-replacement,35.2%,Medium
398,Random Pick Index,https://leetcode.com/problems/random-pick-index,62.5%,Medium
399,Evaluate Division,https://leetcode.com/problems/evaluate-division,59.7%,Medium
400,Nth Digit,https://leetcode.com/problems/nth-digit,34.2%,Medium
401,Binary Watch,https://leetcode.com/problems/binary-watch,52.5%,Easy
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits,30.6%,Medium
403,Frog Jump,https://leetcode.com/problems/frog-jump,43.1%,Hard
405,Convert a Number to Hexadecimal,https://leetcode.com/problems/convert-a-number-to-hexadecimal,46.9%,Easy
406,Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height,73.0%,Medium
407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii,47.6%,Hard
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation,34.8%,Easy
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome,54.1%,Easy
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,53.6%,Hard
411,Minimum Unique Word Abbreviation,https://leetcode.com/problems/minimum-unique-word-abbreviation,39.5%,Hard
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz,70.2%,Easy
413,Arithmetic Slices,https://leetcode.com/problems/arithmetic-slices,65.1%,Medium
414,Third Maximum Number,https://leetcode.com/problems/third-maximum-number,33.3%,Easy
415,Add Strings,https://leetcode.com/problems/add-strings,52.4%,Easy
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,46.2%,Medium
417,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,54.5%,Medium
418,Sentence Screen Fitting,https://leetcode.com/problems/sentence-screen-fitting,35.6%,Medium
419,Battleships in a Board,https://leetcode.com/problems/battleships-in-a-board,74.9%,Medium
420,Strong Password Checker,https://leetcode.com/problems/strong-password-checker,13.7%,Hard
421,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,53.9%,Medium
422,Valid Word Square,https://leetcode.com/problems/valid-word-square,40.0%,Easy
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,52.1%,Medium
425,Word Squares,https://leetcode.com/problems/word-squares,52.8%,Hard
426,Convert Binary Search Tree to Sorted Doubly Linked List,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,64.7%,Medium
427,Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree,74.6%,Medium
428,Serialize and Deserialize N-ary Tree,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,66.1%,Hard
429,N-ary Tree Level Order Traversal,https://leetcode.com/problems/n-ary-tree-level-order-traversal,70.7%,Medium
430,Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,59.7%,Medium
432,All O`one Data Structure,https://leetcode.com/problems/all-oone-data-structure,36.6%,Hard
433,Minimum Genetic Mutation,https://leetcode.com/problems/minimum-genetic-mutation,52.4%,Medium
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,50.4%,Medium
437,Path Sum III,https://leetcode.com/problems/path-sum-iii,47.8%,Medium
438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string,50.2%,Medium
442,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array,73.5%,Medium
443,String Compression,https://leetcode.com/problems/string-compression,52.4%,Medium
444,Sequence Reconstruction,https://leetcode.com/problems/sequence-reconstruction,26.8%,Medium
447,Number of Boomerangs,https://leetcode.com/problems/number-of-boomerangs,54.9%,Medium
448,Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,60.0%,Easy
450,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst,50.4%,Medium
451,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,70.1%,Medium
452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,55.3%,Medium
456,132 Pattern,https://leetcode.com/problems/132-pattern,32.4%,Medium
458,Poor Pigs,https://leetcode.com/problems/poor-pigs,62.5%,Hard
459,Repeated Substring Pattern,https://leetcode.com/problems/repeated-substring-pattern,43.7%,Easy
460,LFU Cache,https://leetcode.com/problems/lfu-cache,43.1%,Hard
461,Hamming Distance,https://leetcode.com/problems/hamming-distance,75.0%,Easy
462,Minimum Moves to Equal Array Elements II,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,60.0%,Medium
463,Island Perimeter,https://leetcode.com/problems/island-perimeter,69.7%,Easy
465,Optimal Account Balancing,https://leetcode.com/problems/optimal-account-balancing,49.2%,Hard
469,Convex Polygon,https://leetcode.com/problems/convex-polygon,39.1%,Medium
471,Encode String with Shortest Length,https://leetcode.com/problems/encode-string-with-shortest-length,50.6%,Hard
473,Matchsticks to Square,https://leetcode.com/problems/matchsticks-to-square,40.2%,Medium
474,Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes,46.8%,Medium
475,Heaters,https://leetcode.com/problems/heaters,36.6%,Medium
476,Number Complement,https://leetcode.com/problems/number-complement,67.4%,Easy
480,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,40.9%,Hard
481,Magical String,https://leetcode.com/problems/magical-string,50.8%,Medium
482,License Key Formatting,https://leetcode.com/problems/license-key-formatting,43.3%,Easy
483,Smallest Good Base,https://leetcode.com/problems/smallest-good-base,38.8%,Hard
484,Find Permutation,https://leetcode.com/problems/find-permutation,66.9%,Medium
485,Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones,56.7%,Easy
486,Predict the Winner,https://leetcode.com/problems/predict-the-winner,51.3%,Medium
487,Max Consecutive Ones II,https://leetcode.com/problems/max-consecutive-ones-ii,49.7%,Medium
489,Robot Room Cleaner,https://leetcode.com/problems/robot-room-cleaner,76.6%,Hard
490,The Maze,https://leetcode.com/problems/the-maze,55.9%,Medium
493,Reverse Pairs,https://leetcode.com/problems/reverse-pairs,30.8%,Hard
494,Target Sum,https://leetcode.com/problems/target-sum,45.7%,Medium
497,Random Point in Non-overlapping Rectangles,https://leetcode.com/problems/random-point-in-non-overlapping-rectangles,39.4%,Medium
498,Diagonal Traverse,https://leetcode.com/problems/diagonal-traverse,58.3%,Medium
499,The Maze III,https://leetcode.com/problems/the-maze-iii,47.5%,Hard
501,Find Mode in Binary Search Tree,https://leetcode.com/problems/find-mode-in-binary-search-tree,49.5%,Easy
502,IPO,https://leetcode.com/problems/ipo,49.7%,Hard
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,63.2%,Medium
504,Base 7,https://leetcode.com/problems/base-7,48.6%,Easy
505,The Maze II,https://leetcode.com/problems/the-maze-ii,52.6%,Medium
506,Relative Ranks,https://leetcode.com/problems/relative-ranks,60.9%,Easy
507,Perfect Number,https://leetcode.com/problems/perfect-number,37.6%,Easy
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number,69.9%,Easy
510,Inorder Successor in BST II,https://leetcode.com/problems/inorder-successor-in-bst-ii,61.0%,Medium
514,Freedom Trail,https://leetcode.com/problems/freedom-trail,46.9%,Hard
516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,61.7%,Medium
518,Coin Change II,https://leetcode.com/problems/coin-change-ii,60.7%,Medium
519,Random Flip Matrix,https://leetcode.com/problems/random-flip-matrix,40.1%,Medium
520,Detect Capital,https://leetcode.com/problems/detect-capital,57.0%,Easy
521,Longest Uncommon Subsequence I,https://leetcode.com/problems/longest-uncommon-subsequence-i,60.3%,Easy
522,Longest Uncommon Subsequence II,https://leetcode.com/problems/longest-uncommon-subsequence-ii,40.6%,Medium
523,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum,28.5%,Medium
524,Longest Word in Dictionary through Deleting,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,51.0%,Medium
525,Contiguous Array,https://leetcode.com/problems/contiguous-array,46.8%,Medium
526,Beautiful Arrangement,https://leetcode.com/problems/beautiful-arrangement,64.4%,Medium
527,Word Abbreviation,https://leetcode.com/problems/word-abbreviation,60.7%,Hard
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight,46.1%,Medium
530,Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,57.3%,Easy
531,Lonely Pixel I,https://leetcode.com/problems/lonely-pixel-i,62.2%,Medium
532,K-diff Pairs in an Array,https://leetcode.com/problems/k-diff-pairs-in-an-array,41.3%,Medium
533,Lonely Pixel II,https://leetcode.com/problems/lonely-pixel-ii,48.5%,Medium
535,Encode and Decode TinyURL,https://leetcode.com/problems/encode-and-decode-tinyurl,86.0%,Medium
539,Minimum Time Difference,https://leetcode.com/problems/minimum-time-difference,56.5%,Medium
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,59.1%,Medium
541,Reverse String II,https://leetcode.com/problems/reverse-string-ii,50.4%,Easy
542,01 Matrix,https://leetcode.com/problems/01-matrix,44.9%,Medium
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,57.0%,Easy
544,Output Contest Matches,https://leetcode.com/problems/output-contest-matches,77.0%,Medium
545,Boundary of Binary Tree,https://leetcode.com/problems/boundary-of-binary-tree,44.5%,Medium
547,Number of Provinces,https://leetcode.com/problems/number-of-provinces,63.9%,Medium
549,Binary Tree Longest Consecutive Sequence II,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii,49.5%,Medium
551,Student Attendance Record I,https://leetcode.com/problems/student-attendance-record-i,48.2%,Easy
552,Student Attendance Record II,https://leetcode.com/problems/student-attendance-record-ii,41.5%,Hard
554,Brick Wall,https://leetcode.com/problems/brick-wall,53.7%,Medium
556,Next Greater Element III,https://leetcode.com/problems/next-greater-element-iii,34.0%,Medium
557,Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii,81.9%,Easy
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,43.6%,Medium
562,Longest Line of Consecutive One in Matrix,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix,50.3%,Medium
564,Find the Closest Palindrome,https://leetcode.com/problems/find-the-closest-palindrome,21.9%,Hard
567,Permutation in String,https://leetcode.com/problems/permutation-in-string,44.3%,Medium
568,Maximum Vacation Days,https://leetcode.com/problems/maximum-vacation-days,45.1%,Hard
569,Median Employee Salary,https://leetcode.com/problems/median-employee-salary,67.0%,Hard
572,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,46.5%,Easy
581,Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,36.4%,Medium
582,Kill Process,https://leetcode.com/problems/kill-process,68.8%,Medium
583,Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings,59.9%,Medium
586,Customer Placing the Largest Number of Orders,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,68.1%,Easy
587,Erect the Fence,https://leetcode.com/problems/erect-the-fence,52.1%,Hard
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system,48.5%,Hard
589,N-ary Tree Preorder Traversal,https://leetcode.com/problems/n-ary-tree-preorder-traversal,75.8%,Easy
593,Valid Square,https://leetcode.com/problems/valid-square,43.9%,Medium
595,Big Countries,https://leetcode.com/problems/big-countries,69.7%,Easy
604,Design Compressed String Iterator,https://leetcode.com/problems/design-compressed-string-iterator,39.6%,Easy
605,Can Place Flowers,https://leetcode.com/problems/can-place-flowers,32.7%,Easy
609,Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system,67.7%,Medium
616,Add Bold Tag in String,https://leetcode.com/problems/add-bold-tag-in-string,48.9%,Medium
621,Task Scheduler,https://leetcode.com/problems/task-scheduler,56.5%,Medium
622,Design Circular Queue,https://leetcode.com/problems/design-circular-queue,51.5%,Medium
629,K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array,42.6%,Hard
630,Course Schedule III,https://leetcode.com/problems/course-schedule-iii,40.2%,Hard
631,Design Excel Sum Formula,https://leetcode.com/problems/design-excel-sum-formula,43.6%,Hard
632,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,61.1%,Hard
636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions,61.2%,Medium
638,Shopping Offers,https://leetcode.com/problems/shopping-offers,53.1%,Medium
642,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system,48.6%,Hard
643,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i,43.7%,Easy
644,Maximum Average Subarray II,https://leetcode.com/problems/maximum-average-subarray-ii,36.1%,Hard
646,Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain,56.5%,Medium
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,67.0%,Medium
648,Replace Words,https://leetcode.com/problems/replace-words,62.7%,Medium
651,4 Keys Keyboard,https://leetcode.com/problems/4-keys-keyboard,55.8%,Medium
652,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees,59.0%,Medium
653,Two Sum IV - Input is a BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,61.1%,Easy
656,Coin Path,https://leetcode.com/problems/coin-path,31.8%,Hard
657,Robot Return to Origin,https://leetcode.com/problems/robot-return-to-origin,75.3%,Easy
658,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,46.8%,Medium
659,Split Array into Consecutive Subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences,50.8%,Medium
660,Remove 9,https://leetcode.com/problems/remove-9,57.3%,Hard
662,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,42.7%,Medium
664,Strange Printer,https://leetcode.com/problems/strange-printer,46.9%,Hard
665,Non-decreasing Array,https://leetcode.com/problems/non-decreasing-array,24.3%,Medium
667,Beautiful Arrangement II,https://leetcode.com/problems/beautiful-arrangement-ii,59.8%,Medium
668,Kth Smallest Number in Multiplication Table,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,51.4%,Hard
670,Maximum Swap,https://leetcode.com/problems/maximum-swap,47.8%,Medium
673,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,43.0%,Medium
674,Longest Continuous Increasing Subsequence,https://leetcode.com/problems/longest-continuous-increasing-subsequence,49.3%,Easy
676,Implement Magic Dictionary,https://leetcode.com/problems/implement-magic-dictionary,57.0%,Medium
677,Map Sum Pairs,https://leetcode.com/problems/map-sum-pairs,56.8%,Medium
678,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string,34.2%,Medium
679,24 Game,https://leetcode.com/problems/24-game,49.2%,Hard
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii,39.4%,Easy
681,Next Closest Time,https://leetcode.com/problems/next-closest-time,46.4%,Medium
683,K Empty Slots,https://leetcode.com/problems/k-empty-slots,37.0%,Hard
684,Redundant Connection,https://leetcode.com/problems/redundant-connection,62.3%,Medium
685,Redundant Connection II,https://leetcode.com/problems/redundant-connection-ii,34.1%,Hard
686,Repeated String Match,https://leetcode.com/problems/repeated-string-match,34.2%,Medium
687,Longest Univalue Path,https://leetcode.com/problems/longest-univalue-path,40.5%,Medium
689,Maximum Sum of 3 Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,48.9%,Hard
690,Employee Importance,https://leetcode.com/problems/employee-importance,65.7%,Medium
691,Stickers to Spell Word,https://leetcode.com/problems/stickers-to-spell-word,46.4%,Hard
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,57.3%,Medium
694,Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands,60.8%,Medium
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island,71.8%,Medium
696,Count Binary Substrings,https://leetcode.com/problems/count-binary-substrings,65.4%,Easy
698,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,39.8%,Medium
700,Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree,77.8%,Easy
702,Search in a Sorted Array of Unknown Size,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size,71.5%,Medium
703,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,55.5%,Easy
704,Binary Search,https://leetcode.com/problems/binary-search,56.2%,Easy
706,Design HashMap,https://leetcode.com/problems/design-hashmap,64.6%,Easy
707,Design Linked List,https://leetcode.com/problems/design-linked-list,27.7%,Medium
708,Insert into a Sorted Circular Linked List,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,34.6%,Medium
710,Random Pick with Blacklist,https://leetcode.com/problems/random-pick-with-blacklist,33.5%,Hard
715,Range Module,https://leetcode.com/problems/range-module,44.6%,Hard
718,Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray,51.2%,Medium
719,Find K-th Smallest Pair Distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance,36.7%,Hard
720,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary,52.0%,Medium
721,Accounts Merge,https://leetcode.com/problems/accounts-merge,56.3%,Medium
722,Remove Comments,https://leetcode.com/problems/remove-comments,38.3%,Medium
724,Find Pivot Index,https://leetcode.com/problems/find-pivot-index,55.0%,Easy
726,Number of Atoms,https://leetcode.com/problems/number-of-atoms,52.2%,Hard
727,Minimum Window Subsequence,https://leetcode.com/problems/minimum-window-subsequence,43.1%,Hard
729,My Calendar I,https://leetcode.com/problems/my-calendar-i,56.8%,Medium
731,My Calendar II,https://leetcode.com/problems/my-calendar-ii,55.0%,Medium
732,My Calendar III,https://leetcode.com/problems/my-calendar-iii,71.6%,Hard
733,Flood Fill,https://leetcode.com/problems/flood-fill,62.3%,Easy
734,Sentence Similarity,https://leetcode.com/problems/sentence-similarity,44.0%,Easy
735,Asteroid Collision,https://leetcode.com/problems/asteroid-collision,44.5%,Medium
736,Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression,51.6%,Hard
737,Sentence Similarity II,https://leetcode.com/problems/sentence-similarity-ii,49.1%,Medium
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,66.2%,Medium
740,Delete and Earn,https://leetcode.com/problems/delete-and-earn,57.0%,Medium
741,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,36.2%,Hard
743,Network Delay Time,https://leetcode.com/problems/network-delay-time,52.0%,Medium
745,Prefix and Suffix Search,https://leetcode.com/problems/prefix-and-suffix-search,41.2%,Hard
746,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,63.4%,Easy
747,Largest Number At Least Twice of Others,https://leetcode.com/problems/largest-number-at-least-twice-of-others,47.3%,Easy
748,Shortest Completing Word,https://leetcode.com/problems/shortest-completing-word,59.2%,Easy
752,Open the Lock,https://leetcode.com/problems/open-the-lock,55.7%,Medium
753,Cracking the Safe,https://leetcode.com/problems/cracking-the-safe,55.9%,Hard
756,Pyramid Transition Matrix,https://leetcode.com/problems/pyramid-transition-matrix,52.7%,Medium
758,Bold Words in String,https://leetcode.com/problems/bold-words-in-string,50.9%,Medium
759,Employee Free Time,https://leetcode.com/problems/employee-free-time,71.8%,Hard
760,Find Anagram Mappings,https://leetcode.com/problems/find-anagram-mappings,83.3%,Easy
763,Partition Labels,https://leetcode.com/problems/partition-labels,79.7%,Medium
765,Couples Holding Hands,https://leetcode.com/problems/couples-holding-hands,56.6%,Hard
766,Toeplitz Matrix,https://leetcode.com/problems/toeplitz-matrix,68.6%,Easy
767,Reorganize String,https://leetcode.com/problems/reorganize-string,52.9%,Medium
768,Max Chunks To Make Sorted II,https://leetcode.com/problems/max-chunks-to-make-sorted-ii,52.8%,Hard
769,Max Chunks To Make Sorted,https://leetcode.com/problems/max-chunks-to-make-sorted,58.2%,Medium
771,Jewels and Stones,https://leetcode.com/problems/jewels-and-stones,88.2%,Easy
772,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii,49.0%,Hard
773,Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle,64.1%,Hard
774,Minimize Max Distance to Gas Station,https://leetcode.com/problems/minimize-max-distance-to-gas-station,51.8%,Hard
775,Global and Local Inversions,https://leetcode.com/problems/global-and-local-inversions,43.2%,Medium
776,Split BST,https://leetcode.com/problems/split-bst,81.7%,Medium
777,Swap Adjacent in LR String,https://leetcode.com/problems/swap-adjacent-in-lr-string,36.8%,Medium
778,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water,59.8%,Hard
779,K-th Symbol in Grammar,https://leetcode.com/problems/k-th-symbol-in-grammar,41.4%,Medium
780,Reaching Points,https://leetcode.com/problems/reaching-points,32.6%,Hard
782,Transform to Chessboard,https://leetcode.com/problems/transform-to-chessboard,51.4%,Hard
783,Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes,59.3%,Easy
785,Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite,53.2%,Medium
787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,37.1%,Medium
788,Rotated Digits,https://leetcode.com/problems/rotated-digits,56.6%,Medium
789,Escape The Ghosts,https://leetcode.com/problems/escape-the-ghosts,60.9%,Medium
790,Domino and Tromino Tiling,https://leetcode.com/problems/domino-and-tromino-tiling,52.7%,Medium
791,Custom Sort String,https://leetcode.com/problems/custom-sort-string,69.0%,Medium
792,Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences,51.6%,Medium
794,Valid Tic-Tac-Toe State,https://leetcode.com/problems/valid-tic-tac-toe-state,35.0%,Medium
796,Rotate String,https://leetcode.com/problems/rotate-string,55.4%,Easy
797,All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,82.3%,Medium
799,Champagne Tower,https://leetcode.com/problems/champagne-tower,51.3%,Medium
800,Similar RGB Color,https://leetcode.com/problems/similar-rgb-color,67.1%,Easy
801,Minimum Swaps To Make Sequences Increasing,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,39.4%,Hard
802,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states,57.0%,Medium
803,Bricks Falling When Hit,https://leetcode.com/problems/bricks-falling-when-hit,34.4%,Hard
804,Unique Morse Code Words,https://leetcode.com/problems/unique-morse-code-words,82.6%,Easy
807,Max Increase to Keep City Skyline,https://leetcode.com/problems/max-increase-to-keep-city-skyline,86.0%,Medium
808,Soup Servings,https://leetcode.com/problems/soup-servings,43.6%,Medium
809,Expressive Words,https://leetcode.com/problems/expressive-words,46.2%,Medium
812,Largest Triangle Area,https://leetcode.com/problems/largest-triangle-area,59.9%,Easy
813,Largest Sum of Averages,https://leetcode.com/problems/largest-sum-of-averages,53.0%,Medium
814,Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning,72.4%,Medium
815,Bus Routes,https://leetcode.com/problems/bus-routes,45.6%,Hard
816,Ambiguous Coordinates,https://leetcode.com/problems/ambiguous-coordinates,56.4%,Medium
817,Linked List Components,https://leetcode.com/problems/linked-list-components,57.6%,Medium
818,Race Car,https://leetcode.com/problems/race-car,43.4%,Hard
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island,45.0%,Hard
828,Count Unique Characters of All Substrings of a Given String,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string,51.6%,Hard
830,Positions of Large Groups,https://leetcode.com/problems/positions-of-large-groups,51.9%,Easy
832,Flipping an Image,https://leetcode.com/problems/flipping-an-image,80.8%,Easy
833,Find And Replace in String,https://leetcode.com/problems/find-and-replace-in-string,53.9%,Medium
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree,59.1%,Hard
835,Image Overlap,https://leetcode.com/problems/image-overlap,63.8%,Medium
836,Rectangle Overlap,https://leetcode.com/problems/rectangle-overlap,43.9%,Easy
837,New 21 Game,https://leetcode.com/problems/new-21-game,36.2%,Medium
838,Push Dominoes,https://leetcode.com/problems/push-dominoes,57.0%,Medium
839,Similar String Groups,https://leetcode.com/problems/similar-string-groups,54.4%,Hard
840,Magic Squares In Grid,https://leetcode.com/problems/magic-squares-in-grid,38.6%,Medium
841,Keys and Rooms,https://leetcode.com/problems/keys-and-rooms,71.6%,Medium
843,Guess the Word,https://leetcode.com/problems/guess-the-word,41.2%,Hard
844,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,48.1%,Easy
845,Longest Mountain in Array,https://leetcode.com/problems/longest-mountain-in-array,40.2%,Medium
846,Hand of Straights,https://leetcode.com/problems/hand-of-straights,56.1%,Medium
847,Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes,60.8%,Hard
849,Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person,47.6%,Medium
850,Rectangle Area II,https://leetcode.com/problems/rectangle-area-ii,53.9%,Hard
852,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array,68.9%,Medium
853,Car Fleet,https://leetcode.com/problems/car-fleet,50.3%,Medium
854,K-Similar Strings,https://leetcode.com/problems/k-similar-strings,40.0%,Hard
855,Exam Room,https://leetcode.com/problems/exam-room,43.4%,Medium
856,Score of Parentheses,https://leetcode.com/problems/score-of-parentheses,64.7%,Medium
857,Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,52.3%,Hard
859,Buddy Strings,https://leetcode.com/problems/buddy-strings,29.2%,Easy
